Name,Type,Location,Frequency,Address,Latitude,Longitude,Phone,Website,Email,Notes
Coastal Discovery Museum Kids' Zone,Family Nature Center,"Hilton Head Island, SC",ongoing,"70 Honey Horn Drive, Hilton Head Island, SC 29926",,,843-689-6767,https://www.coastaldiscovery.org/explore/exhibits/kids-zone/,,Discovery House kids zone with books puzzles puppets and live Lowcountry animals plus family-friendly grounds.
Savannah Children's Museum,Children's Museum,"Savannah, GA",ongoing,"655 Louisville Road, Savannah, GA 31401",,,912-651-4292,https://chsgeorgia.org/savannah-childrens-museum/,,Outdoor exploration museum with imaginative play spaces plus the indoor STEAM Center and mirror maze.
Hunting Island Lighthouse,Lighthouse,"Hunting Island, SC",ongoing,"2555 Sea Island Parkway, Hunting Island, SC 29920",,,843-838-4868,https://www.friendsofhuntingisland.org/reservations,,Family outing spot at Hunting Island where visitors can reserve lighthouse climbs and enjoy beach and nature day trips.
Pinckney Island National Wildlife Refuge,Wildlife Refuge,"Hilton Head Island / Bluffton, SC",ongoing,"4 Howard Drive, Hilton Head Island, SC 29926",,,843-784-2468,https://www.fws.gov/refuge/pinckney-island,savannahcoastal@fws.gov,National wildlife refuge with hiking biking birding wildlife watching and photography on more than 14 miles of trails.
Ernest F. Hollings ACE Basin National Wildlife Refuge,Wildlife Refuge,"Green Pond, SC",ongoing,"8675 Willtown Road, Green Pond, SC 29446",,,843-889-3084,https://www.fws.gov/refuge/ernest-f-hollings-ace-basin,acebasin@fws.gov,Large coastal refuge with hiking birding wildlife viewing photography and historic plantation landscapes in the ACE Basin.
Hunting Island State Park,State Park,"Hunting Island, SC",ongoing,"2555 Sea Island Parkway, Hunting Island, SC 29920",,,843-838-2011,https://southcarolinaparks.com/hunting-island,,South Carolina's most visited state park with beaches marsh boardwalks trails a lighthouse nature programs and camping.
Edisto Beach State Park,State Park,"Edisto Island, SC",ongoing,"8377 State Cabin Road, Edisto Island, SC 29438",,,843-869-4430,https://southcarolinaparks.com/edisto-beach,,Oceanfront state park with beach access trails an environmental learning center ranger programs and broad wildlife habitat.
Cypress Wetlands,Wetlands Park,"Port Royal, SC",ongoing,"1700 Paris Avenue, Port Royal, SC 29935",,,843-986-2200,https://www.portroyal.org/250/Cypress-Wetlands-Rookery-and-Amphitheate,,Port Royal birdwatching wetland with walking trails rookery views migratory birds and regular alligator turtle and waterfowl sightings.
Crystal Lake Park,Nature Preserve,"Lady's Island, SC",ongoing,"124 Lady's Island Drive, Beaufort, SC 29907",,,,https://www.beaufortcountysc.gov/events/2025/03/03.15.2025%20Birding%20at%20Crystal%20Lake%20Park.html,,County passive park with a half-mile loop trail boardwalk fishing pier and strong wildlife-viewing and birding habitat around the lake.
Widgeon Point Preserve,Nature Preserve,"Okatie, SC",ongoing,"43 Okatie Highway, Beaufort, SC 29909",,,,https://www.beaufortcountysc.gov/events/2025/03/03.19.2025%20Birding%20at%20Widgeon%20Point.html,,Scenic preserve with a loop trail bird blind marsh views picnic pavilion and excellent birding and walking along the Broad River.
Port Royal Museum,History Museum,"Port Royal, SC",ongoing,"1634 Paris Avenue, Port Royal, SC 29935",,,843-524-4333,https://www.portroyalhistory.org/,,Local history museum covering Port Royal railroad shrimping fishing crabbing and the town's deep-water port heritage.
Beaufort History Museum,History Museum,"Beaufort, SC",ongoing,"713 Craven Street, Beaufort, SC 29902",,,843-379-3079,https://beauforthistorymuseum.wildapricot.org/about-us/,,History museum in the Beaufort Arsenal interpreting the Beaufort District from Native settlement through the Civil War and modern era.
Parris Island Museum,History Museum,"Parris Island, SC",ongoing,"676 Panama Street, Parris Island, SC 29905",,,843-228-2951,https://parrisislandfoundation.org/museum,PImuseum@usmc.mil,Public museum on Parris Island featuring Marine Corps history plus Port Royal area and early colonial island history.
Savannah History Museum,History Museum,"Savannah, GA",ongoing,"303 Martin Luther King Jr. Boulevard, Savannah, GA 31401",,,912-651-6825,https://exploregeorgia.org/savannah/arts-culture/museums/savannah-history-museum,,Regional history museum inside Savannah's former rail station with exhibits spanning colonial through twentieth-century city history.
Fort Fremont,Historic Site,"St. Helena Island, SC",ongoing,"1124 State Road S-7-45, St. Helena Island, SC 29920",,,843-379-3331,https://fortfremont.org/,,Spanish-American War era coastal defense site with historic batteries scenic waterfront walking paths interpretive signage and regular tours through the Fort Fremont Historical Preserve.
Highway 21 Drive In Theater,Movie Theater,"Beaufort, SC",ongoing,"55 Parker Drive, Beaufort, SC 29906",,,,https://hwy21drivein.com/,,Classic drive-in movie theater with weekend double features on three screens plus concessions and a flea market.
Cinemark Bluffton,Movie Theater,"Bluffton, SC",ongoing,"106 Buckwalter Parkway, Bluffton, SC 29910",,,843-757-2859,https://www.cinemark.com/theatres/sc-bluffton/cinemark-bluffton,,Multiplex movie theater in Bluffton with current releases reserved seating concessions and luxury lounger-style cinema amenities.
Coligny Theatre,Movie Theater,"Hilton Head Island, SC",ongoing,"1 North Forest Beach Drive, Hilton Head Island, SC 29928",,,843-686-3500,https://colignytheatre.com/,,Hilton Head's longtime movie theater and event venue known for films specialty screenings and community performances in Coligny Plaza.
Beaufort Dolphin Adventures,Boat Tour,"Port Royal, SC",ongoing,"1 Port Royal Landing Drive, Port Royal, SC 29935",,,843-259-2581,https://www.beaufortdolphinadventures.com/,info@beaufortdolphinadventures.com,Private Beaufort and Port Royal boat tours focused on dolphins wildlife sunset cruises and scenic Lowcountry waterways.
Coastal Expeditions Beaufort,Boat Tour,"Beaufort, SC",ongoing,"1006 Bay Street, Beaufort, SC 29902",,,,https://coastalexpeditions.com/beaufort/,,Naturalist-led Beaufort boat tours and coastal trips including dolphin cruises sunset outings and barrier island adventures.
Beaufort Kayak Tours,Kayak Tour,"Beaufort, SC",ongoing,,,,843-525-0810,https://beaufortkayaktours.com/,info@beaufortkayaktours.com,Owner-led guided kayak tours around Beaufort focused on marsh ecology dolphins oysters local history and seasonal tide-based paddling.
Coastal Expeditions St. Helena Outpost,Kayak Tour,"St. Helena Island, SC",ongoing,"1928 Sea Island Parkway, St. Helena Island, SC 29920",,,,https://coastalexpeditions.com/beaufort/,,Kayak tours and rentals from the St. Helena outpost with marsh paddles wildlife viewing and family-friendly guided outings near Hunting Island.
Savannah Ghost Pirates,Minor League Hockey,"Savannah, GA",ongoing,"620 Stiles Avenue, Savannah, GA 31415",,,912-494-2868,https://ghostpirateshockey.com/tickets,info@ghostpirateshockey.com,ECHL hockey team playing home games at Enmarket Arena.
Savannah Bananas,Exhibition Baseball,"Savannah, GA",ongoing,"1401 E Victory Drive, Savannah, GA 31404",,,912-712-2482,https://thesavannahbananas.com/,,Banana Ball team playing at historic Grayson Stadium with a fan-first baseball show.
Adventure Hilton Head,Go-Karts,"Hilton Head Island, SC",ongoing,"33 Broad Creek Marina Way, Hilton Head Island, SC 29926",,,843-682-6000,https://myadventurehiltonhead.com,,"Outdoor adventure park with electric go-karts alongside zipline and aerial attractions."
Hopper's Paintball & Airsoft,Paintball,"Savannah, GA",ongoing,"1579 Grove Point Road, Savannah, GA 31419",,,912-572-7565,https://www.hoppersga.com,,"Lowcountry paintball and airsoft field with themed play areas, low-impact options, and group bookings."
The Zone,Batting Cages,"Bluffton, SC",ongoing,"108 Buckwalter Parkway, Bluffton, SC",,,,https://thezonebluffton.com/activities/bluffton-batting-cages/,,"Indoor adventure center with batting cages, HitTrax simulator, and baseball and softball practice options."
Cat Island Club,Golf Course,"Beaufort, SC",ongoing,"8 Waveland Avenue, Beaufort, SC 29907",,,843-524-2000,https://catislandclub.com/golf/,,"Sea Islands golf club with a George Cobb-designed course and marsh-framed Lowcountry scenery."
The Legends at Parris Island Golf Course,Golf Course,"Parris Island, SC",ongoing,"299 Belleau Wood Road, Parris Island, SC 29905",,,843-228-2240,https://www.bmhsc.org/location/legends-parris-island-golf-course,,"Parris Island golf course used for public play and events in the Beaufort area."
Naval Heritage Park Skate Park,Skate Park,"Port Royal, SC",ongoing,"1600 Ribaut Road, Port Royal, SC 29935",,,843-986-2200,https://www.portroyal.org/251/Naval-Heritage-Park,,Covered Port Royal skate park pavilion with ramps near the Spanish Galleon playground and farmers market grounds.
Bristol Sports Arena,Skate Park,"Hilton Head Island, SC",ongoing,"4 Helmsman Way, Hilton Head Island, SC 29928",,,,https://hiltonheadislandsc.gov/parks/BristolSportsArena/,,Hilton Head outdoor skate park with ramps next to a hybrid inline hockey rink basketball goals restrooms and Wi-Fi.
Lake Mayer Skate Park,Skate Park,"Savannah, GA",ongoing,"1850 East Montgomery Crossroads, Savannah, GA 31406",,,,https://parks.chathamcountyga.gov/Parks/Park/Lake%20Mayer,,Large public skate park within Lake Mayer Community Park alongside the hockey rink courts playground and lake amenities.
Station 300 Bluffton,Bowling Alley,"Bluffton, SC",ongoing,"25 Innovation Drive, Bluffton, SC 29910",,,843-815-2695,https://station300bluffton-temp2.bowlrx.com/attractions/bowling/,,Bluffton bowling center with open play leagues bumper lanes arcade food and cosmic bowling nights.
Frames N' Games,Bowling Alley,"Pooler, GA",ongoing,"6 Towne Center Court, Pooler, GA 31322",,,912-330-5577,https://www.framesngames.com/bowling,,Family entertainment center with bowling arcade laser tag food and late-night bowling in Pooler.
Premier Bowl & Bistro,Bowling Alley,"Pooler, GA",ongoing,"4 Towne Center Court, Pooler, GA 31322",,,912-348-2739,https://poolerbowl.com/,,Modern Pooler bowling alley and bistro with cocktails food parties and open bowling.
Bowling Center - MCAS Beaufort,Bowling Alley,"Beaufort, SC",ongoing,"170 Gordon Street, MCAS Beaufort, SC 29904",,,843-228-7106,https://southcarolina.usmc-mccs.org/recreation-fitness/indoor-recreation/bowling,sc.bowling@usmc-mccs.org,Marine Corps Air Station bowling center with family bowling snack bar and party packages.
Bowling Center - MCRD Parris Island,Bowling Alley,"Parris Island, SC",ongoing,"86 Samoa Street, MCRD Parris Island, SC 29905",,,843-228-1551,https://southcarolina.usmc-mccs.org/recreation-fitness/indoor-recreation/bowling,sc.bowling@usmc-mccs.org,Parris Island bowling center with glow bowling leagues and military community recreation programming.
Quickshot Savannah,Shooting Range,"Savannah, GA",ongoing,"7202 White Bluff Road, Savannah, GA 31406",,,912-349-3361,https://www.quickshotshootingrange.com/savannah-ga-shooting-range,info@quickshotshootingrange.com,Indoor shooting range with rentals lanes classes memberships and a beginner-friendly setup in south Savannah.
Forest City Gun Club,Shooting Range,"Savannah, GA",ongoing,"9203 Ferguson Avenue, Savannah, GA 31406",,,912-354-0210,https://forestcitygunclub.com/,,Historic Savannah shotgun sports club with skeet trap sporting clays and public access mainly through tournaments charity shoots and special events.
Bay Street Outfitters,Fishing Outfitter,"Beaufort, SC",ongoing,"825 Bay Street, Beaufort, SC 29902",,,843-524-5250,https://baystreetoutfitters.com/,info@baystreetoutfitters.com,Downtown Beaufort outfitter with fishing gear apparel in-house guides and instruction for Lowcountry fly and light tackle trips.
Cast Away Fishing Charters,Fishing Guide,"Beaufort, SC",ongoing,,,,843-812-2020,https://beaufortcastawaycharter.com/,,Beaufort and Port Royal charter company offering inshore fishing nearshore trips family outings and on-the-water fishing instruction.
Tight Lines Unlimited,Fishing Guide,"Beaufort, SC",ongoing,,,,843-941-9490,https://tightlinesunlimited.com/,tightlinesunlimited@gmail.com,Beaufort inshore spin-fishing guide service running trips for redfish trout flounder cobia tarpon and local waters training.
Low Man Charters,Hunting & Fishing Guide,"Hilton Head Island, SC",ongoing,,,,229-344-1260,https://www.lowmancharters.com/,,Lowcountry charter operation offering guided fishing trips boat tours and seasonal guided duck hunts.
Penn Center,Cultural Center,"St. Helena Island, SC",ongoing,"16 Penn Center Circle West, St. Helena Island, SC 29920",,,843-838-2432,https://www.penncenter.com/,info@penncenter.com,"National Historic Landmark campus at the heart of Gullah-Geechee culture with the York W. Bailey Museum, heritage interpretation, tours, and community events including Heritage Days."
Historic Mitchelville Freedom Park,Historic Site,"Hilton Head Island, SC",ongoing,"40 Harriet Tubman Way, Hilton Head Island, SC 29926",,,843-255-7301,https://exploremitchelville.org/,info@exploremitchelville.org,"Historic site preserving the first self-governed town of formerly enslaved people in the United States, with exhibits, guided interpretation, and public cultural events."
Gullah Museum of Hilton Head Island,History Museum,"Hilton Head Island, SC",ongoing,"12 Georgianna Drive, Hilton Head Island, SC 29926",,,843-681-3254,https://www.gullahmuseumhhi.org/,contact@gullahmuseumhhi.org,"Community-rooted museum preserving Gullah customs, traditions, language, songs, stories, and structures through exhibits, presentations, and annual festivals."
Bluffton Gullah Cultural Heritage Center,Cultural Center,"Bluffton, SC",ongoing,"1255 May River Road, Bluffton, SC 29910",,,,https://blufftongullah.org/,info@blufftongullah.org,"Old Town Bluffton cultural center focused on preserving and celebrating Gullah-Geechee history through exhibits, talks, performances, and community programming."
Pin Point Heritage Museum,History Museum,"Savannah, GA",ongoing,"9924 Pin Point Avenue, Savannah, GA 31406",,,912-667-9347,https://chsgeorgia.org/pin-point-heritage-museum/,,"Museum in a restored oyster and crab factory exploring Gullah-Geechee life in the historic Pin Point community through exhibits and guided interpretation."
Gullah Heritage Trail Tours,Cultural Tour,"Hilton Head Island, SC",ongoing,"70 Honey Horn Drive, Hilton Head Island, SC 29926",,,843-681-7066,https://gullaheritage.com/,,Long-running Hilton Head tour sharing Gullah family compounds local history language and heritage sites through community-based storytelling.
Gullah Geechee Tours,Cultural Tour,"Charleston, SC",ongoing,"375 Meeting Street, Charleston, SC 29403",,,843-478-0000,https://gullahgeecheetours.com/,info@gullahgullah.tours,"Charleston-area cultural tour focused on Gullah-Geechee history, neighborhoods, foodways, and living traditions."
USCB Center for the Arts,Performing Arts Center,"Beaufort, SC",ongoing,"805 Carteret Street, Beaufort, SC 29902",,,843-521-4145,https://www.uscbcenterforthearts.com/,,"Downtown performing arts venue presenting touring artists, theater, and live concerts."
Fishcamp on 11th Street,Live Music Bar,"Port Royal, SC",ongoing,"1699 11th Street, Port Royal, SC 29935",,,843-379-2248,https://fishcampon11th.com,,"Waterfront restaurant and bar with seasonal live music near the docks."
The Fillin' Station,Live Music Bar,"Beaufort, SC",ongoing,"57 Sea Island Parkway, Beaufort, SC 29907",,,843-522-0230,https://thefillinstationbft.com,info@thefillinstationbft.com,"Local dive bar with regular live music, food, and marsh views."
Port Royal Street Music,Outdoor Concert Series,"Port Royal, SC",ongoing,"Paris Avenue between 9th and 10th Streets, Port Royal, SC 29935",,,,,,Free recurring street concert series that brings touring and local acts to Port Royal.
Victory North,Live Music Venue,"Savannah, GA",ongoing,"2603 Whitaker Street, Savannah, GA 31401",,,912-323-2616,https://www.victorynorthsavannah.com/contact,info@victorynorthsavannah.com,Starland District venue hosting touring acts tribute nights and jazz-forward concert events in a restored ice factory space.
District Live,Live Music Venue,"Savannah, GA",ongoing,"400 W River Street, Savannah, GA 31401",,,912-373-9100,https://www.plantriverside.com/event/vincent-neil-emerson/,VIPServices@jwsavannah.com,Plant Riverside concert room presenting ticketed live music with a riverfront setting and a mix of local regional and touring acts.
Tybee Post Theater,Performing Arts Center,"Tybee Island, GA",ongoing,"10 Van Horne Avenue, Tybee Island, GA 31328",,,912-472-4790,https://www.tybeeposttheater.org/,info@tybeeposttheater.org,Historic Tybee theater offering live music almost every weekend along with films comedy and community performances.
The Wormhole,Live Music Bar,"Savannah, GA",ongoing,"2307 Bull Street, Savannah, GA 31401",,,912-777-5720,https://wormholebar.com/,WormholeBar@gmail.com,Starland dive bar and neighborhood music room known for eclectic concerts open mics comedy and late-night hangs.
Charleston Music Hall,Performing Arts Center,"Charleston, SC",ongoing,"37 John Street, Charleston, SC 29403",,,843-853-2252,https://www.charlestonmusichall.com/,info@charlestonmusichall.com,Historic downtown listening room and performance hall hosting concerts comedy and arts programming with strong touring talent.
Music Farm,Live Music Venue,"Charleston, SC",ongoing,"32 Ann Street, Charleston, SC 29403",,,843-853-2252,https://musicfarm.com/,info@musicfarm.com,Downtown Charleston concert venue booking indie rock dance nights tribute shows and nationally touring acts.
Charleston Pour House,Live Music Venue,"Charleston, SC",ongoing,"1977 Maybank Highway, Charleston, SC 29412",,,,https://charlestonpourhouse.com/shows/,anna@charlestonpourhouse.com,James Island venue with indoor and deck stages and live music seven days a week spanning local bands and touring acts.
The Windjammer,Live Music Venue,"Isle of Palms, SC",ongoing,"1008 Ocean Boulevard, Isle of Palms, SC 29451",,,843-886-8596,https://the-windjammer.com/,Mgt@windjammeriop.com,Long-running beach club and open-air concert venue on Front Beach with local bands national acts and ocean views.
