Name,Type,Tags,Products,Location,Address,Latitude,Longitude,Phone,Website,Email,Best Season,Secondary Season,Availability,Notes
De Gullah Farmers Market,ethnic_market,Ethnic Market,"Gullah-Geechee produce, local produce, prepared foods, flowers, crafts, art, gifts, sweetgrass crafts","Awendaw, SC","4116 N Highway 17, Awendaw, SC 29429",,,,https://degullahfarmersmarket.com/,,Year-round,,"Monthly market",Monthly market presented by Gullah Village Farmers with Gullah-Geechee produce food art sweetgrass crafts and cultural programming.
Tienda Los Hermanos - Beaufort,ethnic_market,Ethnic Market,"Central American groceries, tortillas, butcher counter, prepared foods, money transfers","Beaufort, SC","659 Robert Smalls Pkwy, Beaufort, SC 29906",,,843-524-7114,https://www.loshermanos-llc.com/,,Year-round,,"Fresh + pantry",Central American food market and grocery serving Beaufort with envios check services groceries and a restaurant connection.
Tienda Los Hermanos - Bluffton,ethnic_market,Ethnic Market,"Central American groceries, tortillas, butcher counter, prepared foods, money transfers","Bluffton, SC","5 Godfrey Place, Bluffton, SC 29910",,,843-815-5276,https://www.loshermanos-llc.com/,,Year-round,,"Fresh + pantry",Bluffton location of the Los Hermanos market group focused on Central American groceries culture and services.
Super-Mercado La Mexicana,ethnic_market,Ethnic Market,"Mexican groceries, Central American groceries, South American groceries, fresh vegetables, fresh corn tortillas, butcher counter, cheeses, condiments","Bluffton, SC","21 Simmonsville Rd, Bluffton, SC 29910",,,843-836-1838,https://lamexicanasm.com/,,Year-round,,"Fresh + pantry",Bluffton Latino supermarket with fresh produce hot corn tortillas a butcher counter dairy cheeses canned goods snacks beverages and household staples.
El Super International,ethnic_market,Ethnic Market,"Latin American groceries, South and Central American foods, fresh corn tortillas, vegetables, meats, plantains, recao, prepared foods","Bluffton, SC","33 Sherington Dr, Bluffton, SC 29910",,,843-815-8113,https://www.loc8nearme.com/south-carolina/bluffton/el-super-internacional/3708030/,,Year-round,,"Fresh + pantry",Small Latino grocery carrying South and Central American foods fresh tortillas vegetables meats and Puerto Rican cooking staples such as plantains and recao.
EthniCity Food Mart,ethnic_market,Ethnic Market,"Filipino staples, Brazilian food, Jamaican food, Portuguese food, Eastern European groceries, Asian sauces, ube, picanha, fresh vegetables","Bluffton, SC","22 Plantation Park Dr #105B, Bluffton, SC 29910",,,912-612-4371,https://marketbluffton.com/,,Year-round,,"Fresh + pantry",Bluffton international market with Filipino Asian Brazilian Portuguese Jamaican and Eastern European goods plus fresh vegetables and hard-to-find pantry staples.
Tienda Mexicana La Moreliana,ethnic_market,Ethnic Market,"Mexican groceries, tacos, homemade tortillas, dried chiles, spices, salsa, Mexican candies, beverages","St. Helena Island, SC","802 Sea Island Pkwy, St. Helena Island, SC 29920",,,843-838-0112,https://www.mapquest.com/us/south-carolina/tienda-mexicana-la-moreliana-22003351,,Year-round,,"Fresh + pantry",St. Helena Mexican grocery and taqueria tucked into a general-store setting with tortillas spices salsas candies beverages and authentic tacos.
Tienda La Familia,ethnic_market,Ethnic Market,"Argentinian groceries, Venezuelan groceries, Mexican groceries, Salvadoran groceries, Caribbean groceries, meats, produce","Hilton Head Island, SC","435 William Hilton Pkwy, Hilton Head Island, SC 29926",,,843-715-2000,https://onehiltonhead.com/2025/03/19/tienda-la-familia/,,Year-round,,"Fresh + pantry",Hilton Head Latin grocery and butcher shop with South American Mexican Salvadoran Venezuelan Caribbean groceries meats and produce.
Penn Center Farmers Market,ethnic_market,Ethnic Market,"Gullah-Geechee produce, local farmers, crafts, local seafood, pastries","St. Helena Island, SC","1610 Penn Center Circle West, St. Helena Island, SC 29920",,,843-838-7105,https://agriculture.sc.gov/farmers-market/penn-center-farmers-market/,,Late Jun-Mid Oct,,"Fresh, seasonal",Open-air farmers market at Penn Center accepting WIC and senior vouchers with produce crafts local seafood pastries and Sea Islands foodways context.
Gullah Farmers' Cooperative,ethnic_market,Ethnic Market,"Gullah-grown produce, okra, peas, watermelon, cucumbers, peppers, squash, yams, wholesale produce","St. Helena Island, SC","St. Helena Island, SC",,,,https://gullahfarmers.org/,,Year-round,,"Wholesale orders",St. Helena Island cooperative supporting Gullah-Geechee farmers and distributing Gullah-grown produce to wholesale markets institutions retailers restaurants and community partners.
LowCountry Flea Market,ethnic_market,Ethnic Market,"Lowcountry culture, Gullah-Geechee food, pork rinds, New Orleans-style shaved ice, Gullah Express island food, prepared foods","Beaufort, SC","55 Parker Drive, Beaufort, SC 29906",,,,https://www.beaufortsc.org/things-to-do/farmers-market/,,Year-round,,"Weekend market",Weekend Highway 21 Drive-In flea market highlighted by Visit Beaufort for Lowcountry culture foods pork rinds shaved ice and Gullah Express island food.
De' Market at Ma Daisy's Porch,ethnic_market,Ethnic Market,"Gullah-Geechee retail, specialty crafted products, artists, designers, weavers, entrepreneurs, event space","Bluffton, SC","1255 May River Rd, Bluffton, SC 29910",,,843-305-3880,https://www.madaisysporch.com/de-market/,,Year-round,,"Rotating vendors",Open-air experiential market at Ma Daisy's Porch with rotating vendors specialty crafted products artists designers weavers and entrepreneurs in a Gullah heritage campus.
Okey Tropical Market,ethnic_market,Ethnic Market,"African groceries, Caribbean groceries, spices, grains, household staples, tropical pantry goods","Savannah, GA","7082 Hodgson Memorial Dr, Savannah, GA 31406",,,912-777-5369,https://www.okeytropicalmarket.com/about.html,info@okeytropicalmarket.com,Year-round,,"Fresh + pantry",Savannah African and Caribbean grocery specializing in household grocery items from Africa and Caribbean islands with comfort-food staples and spices.
Juncia Caribbean Market,ethnic_market,Ethnic Market,"Caribbean groceries, Jamaican groceries, Haitian groceries, Trinidadian groceries, fresh produce, specialty spices, delivery","Savannah, GA","1711 East Victory Drive, Savannah, GA 31404",,,,https://www.junciacaribbean.com/,,Year-round,,"Fresh + delivery",Savannah Caribbean grocery and delivery market carrying groceries produce and specialty spices from Jamaica Haiti Trinidad and beyond.
Happy African Caribbean Market,ethnic_market,Ethnic Market,"African groceries, Caribbean groceries, imported foods, spices, household goods","Savannah, GA","Savannah, GA 31419",,,929-303-8293,https://www.mapquest.com/us/georgia/happy-african-caribbean-market-524978785,,Year-round,,"Pantry goods",Savannah African and Caribbean grocery lead carrying imported foods spices and household goods; exact street address still needs stronger confirmation.
Enson Market - Savannah,ethnic_market,Ethnic Market,"Asian groceries, fresh Asian produce, ramen, noodles, dumplings, tofu, kimchi, gochujang, sauces, snacks, tea, seafood, meats","Savannah, GA","5501 Abercorn Street, Savannah, GA 31405",,,912-228-4420,https://www.ensonmarket.com/,,Year-round,,"Fresh + pantry",Large Savannah Asian supermarket with East Asian Southeast Asian and Pacific Island grocery products fresh produce seafood meats frozen goods sauces snacks teas and prepared-food counters.
SpeiseKammer German Groceries,ethnic_market,Ethnic Market,"German groceries, Bavarian pantry goods, sausages, sauerkraut, mustard, imported German goods","Hinesville, GA","103 Midway St, Hinesville, GA 31313",,,912-332-1581,https://www.zumrosenhof-speisekammer.com/about-us,zum_rosenhof@yahoo.com,Year-round,,"Pantry goods",German grocery shop next to Zum Rosenhof restaurant with authentic German groceries goodies and Bavarian-style food staples.
Savannah Scottish Games Marketplace,ethnic_market,Ethnic Market,"Scottish goods, Celtic goods, Scottish baked goods, shortbread, tea, meat pies, artisan gifts","Savannah, GA","9520 Ferguson Ave, Savannah, GA 31406",,,,https://www.savannahscottishgames.com/marketplace-food,,May,,"Annual marketplace",Annual Scottish and Celtic marketplace at the Savannah Scottish Games with vendors for Scottish goods Celtic designs baked Scottish items food and refreshments.
The Sexton Pub & Provisions,ethnic_market,Ethnic Market,"Irish provisions, bangers, shepherd's pie, pasties, sausage rolls, Irish mustard, curry sauce","Savannah, GA","9 West 43rd Street, Savannah, GA 31401",,,,https://www.toasttab.com/local/order/thesextonpubsavannah,,Year-round,,"Prepared foods",Savannah Irish pub and provisions stop with take-home friendly Irish comfort foods including bangers shepherd's pie pasties sausage rolls mustard and curry sauces.
